"change_id";"old_description";"new_description";"human_label";"llm_decision";"llm_reason"
"core~204946";"check for hb_shape_full failure




(cherry picked from commit c9c80a13a68a04e0df870d687ec7c467b245ff9a)";"check for hb_shape_full failure




(cherry picked from commit 22c19be8fae977a90f83a82d8acccd0b46c7cf20)";"REMOVE";"KEEP";"Both descriptions are identical and do not add, remove, or modify meaningful technical information."
"core~205827";"drop isLOKTablet

follow-up of
commit ac6deb33e770c45f43973f9d8f99d0b80359b007
Author: Xisco Fauli <xiscofauli@libreoffice.org>
Date: Fri May 29 10:07:20 2026 +0200

drop isLOKMobilePhone";"drop isLOKTablet

follow-up of
commit f436c1cd89001ab8ce995f08a3f878b04cd5f963
Author: Xisco Fauli <xiscofauli@libreoffice.org>
Date: Fri May 29 10:07:20 2026 +0200

drop isLOKMobilePhone";"REMOVE";"MODIFY";"The new commit description modifies the technical information by dropping a different device (isLOKTablet instead of isLOKMobilePhone)."
"core~203685";"fix unworking button";"tdf#148417 Return Find&Replace unworking button to menu";"REMOVE";"ADD";"The new description provides additional context and specifics about the issue, which was not present in the old description. The new description includes a ticket number (tdf#148417) and specifies that the 'Find&Replace' button is being returned to the menu."
"core~205332";"sc: report what value differs when the sheet view test fails

So it's easier and faster to analyze the problem if a sheet view
test fails.




(cherry picked from commit baf7abde077b2377ae0562b9e55b0fd1b283930a)";"sc: report what value differs when the sheet view test fails

So it's easier and faster to analyze the problem if a sheet view
test fails.






(cherry picked from commit 0e79aca535c753ffd083e5987b99ca54cf2e9ce5)";"REMOVE";"KEEP";"Both old and new commit descriptions contain the same technical information, so no meaningful change is detected."
"core~205287";"sc: add elements and parsing of namedSheetView*.xml files

This adds parsing of elements (namedSheetView) and sub-elements
contained in namedSheetView*.xml files. The data is contained in
NamedSheetViewData, but for now we don't do anything with this
data yet.




(cherry picked from commit a3c94c2699b73a7d5bf2900b69043098109fa9fb)";"sc: add elements and parsing of namedSheetView*.xml files

This adds parsing of elements (namedSheetView) and sub-elements
contained in namedSheetView*.xml files. The data is contained in
NamedSheetViewData, but for now we don't do anything with this
data yet.






(cherry picked from commit 7135df7768579bef1655923a125de2f440caf463)";"REMOVE";"KEEP";"Both descriptions are identical and do not add, remove, or modify meaningful technical information between the two commit versions."
"core~205853";"Related tdf#115376: generate ol and li tags for lists

TODO: in this commit we always use ordered list (since it's the example of the bugtracker)
but we should find the way to know if we must use ordered or unordered list.";"Related tdf#115376: generate ol and li tags for lists

+ change testList QA test accordingly

TODO: in this commit we always use ordered list (since it's the example of the bugtracker)
but we should find the way to know if we must use ordered or unordered list.";"REMOVE";"MODIFY";"The new description includes an additional action ('change testList QA test accordingly') which adds a new task, thus modifying the technical information in the commit message."
"core~203150";"(WIP)tdf#167949 Stylist: Turn filters into a checkbox list";"tdf#167949 Allow for independently toggling style filters";"KEEP";"MODIFY";"The new description provides a more explicit and detailed explanation of the change, making it more informative compared to the old one."
"core~205466";"Located instance of SAL_N_ELEMENTS() and updated to std::size()";"tdf#147021 Update SAL_N_ELEMENTS to std::size() in hbox.cxx";"REMOVE";"MODIFY";"The new description provides additional context by referencing a ticket ID (tdf#147021), which was not present in the old description. This could be useful for tracking changes across different parts of the project."
"core~204921";"toolkit: Switch broadcast_type to enum class

Also use more usual camel-case for the names.";"toolkit: Switch broadcast_type to enum class

Also use more usual camel case for the names.";"REMOVE";"KEEP";"Both descriptions are identical and do not add, remove, or modify meaningful technical information."
"core~204776";"sw: Add include for SwXTextRange

Fixes this build error seein in an --enable-pch=no
Windows build:

C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): error C2027: use of undefined type 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(51): note: see declaration of 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): note: the template instantiation context (the oldest one first) is
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(215): note: see reference to class template instantiation 'rtl::Reference<SwXTextRange>' being compiled
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(123): note: while compiling class template member function 'rtl::Reference<SwXTextRange>::~Reference(void)'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(220): note: see the first reference to 'rtl::Reference<SwXTextRange>::~Reference' in 'SwPasteInfo::~SwPasteInfo'";"sw: Add include for SwXTextRange

Fixes this build error seen in an --enable-pch=no
Windows build:

C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): error C2027: use of undefined type 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(51): note: see declaration of 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): note: the template instantiation context (the oldest one first) is
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(215): note: see reference to class template instantiation 'rtl::Reference<SwXTextRange>' being compiled
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(123): note: while compiling class template member function 'rtl::Reference<SwXTextRange>::~Reference(void)'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(220): note: see the first reference to 'rtl::Reference<SwXTextRange>::~Reference' in 'SwPasteInfo::~SwPasteInfo'";"REMOVE";"KEEP";"The new commit description does not provide any additional or modified technical information compared to the old one. Both descriptions indicate the addition of an include for 'SwXTextRange' and reference the same build error."
"mediawiki%2Fcore~1279494";"Deprecate Title::canUseNoindex() with warnings

This is unused outside of mediawiki-core:
https://codesearch.wmcloud.org/search/?q=canUseNoindex&files=&excludeFiles=&repos=

We deprecate this method and move it to NamespaceInfo, where
it more logically belongs and where the required services and
configuration variables are already available.

In the process, update a comment in Parser about INDEX/NOINDEX
precedence which doesn't match the logic implemented in
ParserOutput::getIndexPolicy(). This may have changed in
MW 1.39 with I683e5ae054a0425b03c60a4af8c845b576414c1d, but
reflects ""noindex"" being given precedence in
ParserOutput::mergeHtmlMetaDataFrom() in MW 1.32
(I871978bf79f67c9e7954fb3fc8528d6e365f2cc1). In any case,
there haven't been any complains about the current behavior
in the past 8 years, so make the comment match the current
reality.";"Deprecate Title::canUseNoindex() with warnings

This is unused outside of mediawiki-core:
https://codesearch.wmcloud.org/search/?q=canUseNoindex&files=&excludeFiles=&repos=

We deprecate this method and move it to NamespaceInfo, where
it more logically belongs and where the required services and
configuration variables are already available.

In the process, update a comment in Parser about INDEX/NOINDEX
precedence which doesn't match the logic implemented in
ParserOutput::getIndexPolicy(). This may have changed in
MW 1.39 with I683e5ae054a0425b03c60a4af8c845b576414c1d, but
reflects ""noindex"" being given precedence in
ParserOutput::mergeHtmlMetaDataFrom() in MW 1.32
(I871978bf79f67c9e7954fb3fc8528d6e365f2cc1). In any case,
there haven't been any complaints about the current behavior
in the past 8 years, so make the comment match the current
reality.";"REMOVE";"KEEP";"Both descriptions are identical, no new or removed meaningful technical information."
"mediawiki%2Fcore~1290022";"composer.json: Updated symfony/yaml from 5.4.45 to 6.4.52";"composer.json: Updated symfony/yaml from 5.4.45 to 5.4.52";"REMOVE";"REMOVE";"The new commit description does not add, remove, or modify meaningful technical information compared to the old one. It only downgrades the version number of symfony/yaml which is not a significant change."
"mediawiki%2Fcore~1287832";"HtmlformCheckerV2: emove unnecessary param";"HtmlformCheckerV2: remove unnecessary param";"REMOVE";"KEEP";"Both descriptions suggest removing an unnecessary parameter, so no semantic evolution is detected."
"mediawiki%2Fcore~824548";"Upgrade CLDRPluralRuleParser to v1.4.0";"Upgrade CLDRPluralRuleParser to v1.6.5";"REMOVE";"REMOVE";"The new commit description does not provide any additional or modified meaningful technical information compared to the old one. It only indicates an update of the version number."
"mediawiki%2Fcore~1250617";"Soft depcerate and document Base/QuickTemplate::msg() better

This method is almost entirely unused, as far as I can tell. And
for good reasons. It doesn't behave like anything else: Doesn't
return a Message object. Doesn't return a string. It's not even
equivalent to the JS method mw.msg(). In JS we get the ""text""
representation. This here returns the ""escaped"" form which means it
actually returns HTML, not text, and is wrongly or at least very
confusingly named.

Soft-deprecation doesn't do much but makes the problems more
visible both in this class as well as in old skins that still use
this.

This got motivated by Ie028cbb.";"Soft deprecate and document Base/QuickTemplate::msg() better

This method is almost entirely unused, as far as I can tell. And
for good reasons. It doesn't behave like anything else: Doesn't
return a Message object. Doesn't return a string. It's not even
equivalent to the JS method mw.msg(). In JS we get the ""text""
representation. This here returns the ""escaped"" form which means it
actually returns HTML, not text, and is wrongly or at least very
confusingly named.

Soft-deprecation doesn't do much but makes the problems more
visible both in this class as well as in old skins that still use
this.

This got motivated by Ie028cbb.";"REMOVE";"KEEP";"The new commit description does not add, remove, or modify any meaningful technical information compared to the old one. It maintains the same concerns and explanations."
"mediawiki%2Fcore~1281717";"WIP: Preferences: Add an Account Security section";"Preferences: Add an Account Security section";"REMOVE";"KEEP";"Both descriptions are identical and do not add, remove, or modify meaningful technical information."
"mediawiki%2Fcore~1035358";"[DNM] objectcache: Remove WinCache support

WinCache is an APCu equivalent for use with Microsoft IIS, but in recent
years has been unmaintained and lacks support for PHP 8 and newer.[1]
So, remove support for it as MediaWiki will be raising the minimum
supported PHP version to 8.1.

[1] https://www.php.net/manual/en/install.windows.recommended.php";"objectcache: Remove WinCache support

WinCache is an APCu equivalent for use with Microsoft IIS, but in recent
years has been unmaintained and lacks support for PHP 8 and newer.[1]
So, remove support for it as MediaWiki will be raising the minimum
supported PHP version to 8.1.

[1] https://www.php.net/manual/en/install.windows.recommended.php";"REMOVE";"KEEP";"The new commit description maintains the same technical information as the old one, stating that WinCache support is being removed due to its lack of support for PHP 8 and newer, and MediaWiki raising the minimum supported PHP version to 8.1."
"mediawiki%2Fcore~1271867";"[POC] Make HTMLFormField parent mandatory";"Make HTMLFormField parent mandatory";"REMOVE";"KEEP";"Both descriptions convey the same intent, which is to make HTMLFormField parent mandatory. The old description includes '[POC]' indicating Proof of Concept, but for the purpose of semantic evolution analysis, it can be ignored."
"mediawiki%2Fcore~1281975";"improve moveusersubpage-warning message

- punctuation
- grammar (""on"" to ""in"")";"i18n: Improve moveusersubpage-warning message

- punctuation
- grammar (""on"" to ""in"")";"REMOVE";"KEEP";"Both descriptions refer to the same action of improving the 'moveusersubpage-warning' message, with the new description also providing additional context about internationalization (i18n)."
"mediawiki%2Fcore~673802";"Move most Restriction tests to unit tests

Need to split up PageRestrictionTest into integration
tests and unit tests";"Block: Move most Restriction tests to unit tests

Need to split up PageRestrictionTest into integration
tests and unit tests";"REMOVE";"MODIFY";"The new description includes an additional 'Block' keyword which may not be significant in terms of technical information, but it could potentially indicate a change in the scope or context of the commit. Therefore, it is considered a modification."
"mediawiki%2Fcore~1277217";"Remove unused 'mediawiki.ui.checkbox' module

Deprecated in v1.41, now removed.
Instead, use Codex modules.";"Remove unused 'mediawiki.ui.input' module

Deprecated in v1.41, now removed.
Instead, use Codex modules.";"REMOVE";"SAME";"Both descriptions indicate removal of an unused module (mediawiki.ui.) and replacement with Codex modules, with only the specific module name changing."
"mediawiki%2Fcore~1281823";"WIP: Normalize thumbnail sizing in media responses

Add a MediaFileTrait function to normalize image sizes based on
the approved thumbnail steps, and use it in handlers that need
to output thumbnail-oriented links. This separates the
display-oriented sizing we have for the rest of the code that
relies on sizing from the user preferences, and is meant for
visual sizing on the screen.";"Normalize thumbnail sizing in media responses

Add a MediaFileTrait function to normalize image sizes based on
the approved thumbnail steps, and use it in handlers that need
to output thumbnail-oriented links.

This commit also separates the sizing calculations to two concepts:
- Visual size of images: based on $wgImageLimits and user options.
- Physical size of thumbnails: based on $wgThumbnailSteps and follows
the strict cached sizes of the thumbnails and their urls.

Documentation was added to emphasize the difference between the two
methods. Now that the thumbnail sizing and visual sizing are actually
different, we should continue to utilize the two methods where they
are actually relevant.";"KEEP";"KEEP";"The new description provides additional context by separating the sizing calculations into two concepts: visual size and physical size of thumbnails. This clarifies the changes made in the commit, making it more informative compared to the old description."
"mediawiki%2Fcore~1289374";"Special:EditWatchlist: Fix incorrect selected page count

The updateSelectedPagesListHtml() function used Array.splice() to
truncate selectedPages for display purposes. splice() mutates the
original array, causing selectedPages.value.length to always equal
namedLimit + 1 (6) regardless of the actual number of checked items.

This caused the 'Remove pages' button and dialog title to show an
incorrect count in languages where the translation displays the
number (e.g. Hungarian: '$1 lap eltávolítása' shows '6 lap' instead
of the real count).

Fix: Use Array.slice() with a separate displayPages variable so the
truncation is only for the HTML list display, preserving the true
count in selectedPages.";"Special:EditWatchlist: Fix incorrect selected page count

Array.splice() was used instead of Array.slice() to truncate the
page list for display. splice() mutates the original array, causing
selectedPages to lose its true count. This was visible in languages
that display the count in the button label (e.g. Hungarian).

Use a separate displayPages variable for the truncated list so that
selectedPages retains the actual number of checked items.";"KEEP";"MODIFY";"Both descriptions discuss a similar issue and solution, but the new description provides additional context about why using Array.splice() was problematic and why using a separate displayPages variable is beneficial."
"mediawiki%2Fcore~1256553";"Special:Preferences: Display three options for thumbsizes

Thumbnail sizes are collapsed into three options.";"Special:Preferences: Display three options for thumbsizes

Thumbnail sizes are collapsed into three options.
The thumbnail sizes that have been removed will be rewritten
when the user nexts saves preferences or a maintenance script
is run.

The class skin-theme-clientpref-thumb-(size) added in
OutputPage will round up to the closest thumbnail size until that
happens so there should only be disruption to users who modify
preferences between this patch being deployed and the
maintenance script being run. The preferences page mirrors this logic
and can be removed once the relevant user preferences maintenance
scripts have been run.";"KEEP";"MODIFY";"The new description provides additional information about the removal and rewriting of thumbnail sizes, as well as the addition of a class and changes to the preferences page. This information is considered meaningful technical details."
"mediawiki%2Fcore~1287963";"PHPUnit 10 compatibility for parser tests via non-suite runner";"PHPUnit 10 compatibility for parser tests via non-suite runner

Instead of using the deprecated TestSuite mechanism, use the
`composer phpunit:config` target to generate simple 7-line
tests/phpunit/gen/ParserTest_*_Test.php files corresponding to
each tests/parser/*.txt parser test file. These test classes
use the `ParserTestFileTrait` and enumerate all the tests in
the parser test file via a standard data provider.

The `setupBeforeClass` and `tearDownAfterClass` methods are
used to create a TestFileReader and ParserTestRunner which
are shared for all the tests in a given parser test file.";"KEEP";"MODIFY";"The new description provides additional technical information about the changes made, such as using a non-suite runner and generating test files with the `composer phpunit:config` target. This modification is significant to understand the evolution of the codebase."
