"change_id";"old_description";"new_description";"human_label";"llm_decision";"llm_reason"
"core~204946";"check for hb_shape_full failure




(cherry picked from commit c9c80a13a68a04e0df870d687ec7c467b245ff9a)";"check for hb_shape_full failure




(cherry picked from commit 22c19be8fae977a90f83a82d8acccd0b46c7cf20)";"REMOVE";"KEEP";"Both descriptions are identical, with no added or removed relevant content. The only differences are the commit hashes and the lack of formatting changes."
"core~205827";"drop isLOKTablet

follow-up of
commit ac6deb33e770c45f43973f9d8f99d0b80359b007
Author: Xisco Fauli <xiscofauli@libreoffice.org>
Date: Fri May 29 10:07:20 2026 +0200

drop isLOKMobilePhone";"drop isLOKTablet

follow-up of
commit f436c1cd89001ab8ce995f08a3f878b04cd5f963
Author: Xisco Fauli <xiscofauli@libreoffice.org>
Date: Fri May 29 10:07:20 2026 +0200

drop isLOKMobilePhone";"REMOVE";"REMOVE";"Both changes drop 'isLOKTablet' and 'isLOKMobilePhone'. The commit references have been updated to reflect the correct commit id."
"core~203685";"fix unworking button";"tdf#148417 Return Find&Replace unworking button to menu";"REMOVE";"KEEP";"The new description provides more context and specifics about the issue, which is beneficial for understanding the change. It includes the issue number (tdf#148417), a clear title ('Return Find&Replace unworking button to menu'), and potentially useful information such as the motivation and implementation details."
"core~205332";"sc: report what value differs when the sheet view test fails

So it's easier and faster to analyze the problem if a sheet view
test fails.




(cherry picked from commit baf7abde077b2377ae0562b9e55b0fd1b283930a)";"sc: report what value differs when the sheet view test fails

So it's easier and faster to analyze the problem if a sheet view
test fails.






(cherry picked from commit 0e79aca535c753ffd083e5987b99ca54cf2e9ce5)";"REMOVE";"KEEP";"The description remains unchanged, with no significant additions or modifications that would affect its purpose or clarity."
"core~205287";"sc: add elements and parsing of namedSheetView*.xml files

This adds parsing of elements (namedSheetView) and sub-elements
contained in namedSheetView*.xml files. The data is contained in
NamedSheetViewData, but for now we don't do anything with this
data yet.




(cherry picked from commit a3c94c2699b73a7d5bf2900b69043098109fa9fb)";"sc: add elements and parsing of namedSheetView*.xml files

This adds parsing of elements (namedSheetView) and sub-elements
contained in namedSheetView*.xml files. The data is contained in
NamedSheetViewData, but for now we don't do anything with this
data yet.






(cherry picked from commit 7135df7768579bef1655923a125de2f440caf463)";"REMOVE";"KEEP";"The change adds parsing capabilities for namedSheetView*.xml files, although no immediate action is taken with the parsed data. This could be useful in future developments."
"core~205853";"Related tdf#115376: generate ol and li tags for lists

TODO: in this commit we always use ordered list (since it's the example of the bugtracker)
but we should find the way to know if we must use ordered or unordered list.";"Related tdf#115376: generate ol and li tags for lists

+ change testList QA test accordingly

TODO: in this commit we always use ordered list (since it's the example of the bugtracker)
but we should find the way to know if we must use ordered or unordered list.";"REMOVE";"KEEP";"The change clarifies that the current implementation uses an ordered list due to it being the example in the bug tracker, but further work is needed to determine whether an ordered or unordered list should be used based on certain conditions."
"core~203150";"(WIP)tdf#167949 Stylist: Turn filters into a checkbox list";"tdf#167949 Allow for independently toggling style filters";"KEEP";"KEEP";"The new description is more descriptive and user-friendly, explaining the functionality more clearly than the old one. It also aligns better with the format of other issue titles."
"core~205466";"Located instance of SAL_N_ELEMENTS() and updated to std::size()";"tdf#147021 Update SAL_N_ELEMENTS to std::size() in hbox.cxx";"REMOVE";"KEEP";"The change clarifies the use of std::size() instead of SAL_N_ELEMENTS(), which is a more standard approach in C++. It also provides context by referencing issue #147021."
"core~204921";"toolkit: Switch broadcast_type to enum class

Also use more usual camel-case for the names.";"toolkit: Switch broadcast_type to enum class

Also use more usual camel case for the names.";"REMOVE";"KEEP";"The change does not significantly alter the intent or functionality of the code, focusing on naming conventions and case usage. These changes are cosmetic and do not affect the technical details, behavior, motivation, implementation, limitations, or bug explanations."
"core~204776";"sw: Add include for SwXTextRange

Fixes this build error seein in an --enable-pch=no
Windows build:

C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): error C2027: use of undefined type 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(51): note: see declaration of 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): note: the template instantiation context (the oldest one first) is
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(215): note: see reference to class template instantiation 'rtl::Reference<SwXTextRange>' being compiled
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(123): note: while compiling class template member function 'rtl::Reference<SwXTextRange>::~Reference(void)'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(220): note: see the first reference to 'rtl::Reference<SwXTextRange>::~Reference' in 'SwPasteInfo::~SwPasteInfo'";"sw: Add include for SwXTextRange

Fixes this build error seen in an --enable-pch=no
Windows build:

C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): error C2027: use of undefined type 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(51): note: see declaration of 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): note: the template instantiation context (the oldest one first) is
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(215): note: see reference to class template instantiation 'rtl::Reference<SwXTextRange>' being compiled
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(123): note: while compiling class template member function 'rtl::Reference<SwXTextRange>::~Reference(void)'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(220): note: see the first reference to 'rtl::Reference<SwXTextRange>::~Reference' in 'SwPasteInfo::~SwPasteInfo'";"REMOVE";"KEEP";"The changes do not involve relevant content, only formatting and whitespace adjustments. The error message remains the same, indicating that the inclusion of SwXTextRange is still necessary to resolve the build error on Windows with --enable-pch=no."
"mediawiki%2Fcore~1279494";"Deprecate Title::canUseNoindex() with warnings

This is unused outside of mediawiki-core:
https://codesearch.wmcloud.org/search/?q=canUseNoindex&files=&excludeFiles=&repos=

We deprecate this method and move it to NamespaceInfo, where
it more logically belongs and where the required services and
configuration variables are already available.

In the process, update a comment in Parser about INDEX/NOINDEX
precedence which doesn't match the logic implemented in
ParserOutput::getIndexPolicy(). This may have changed in
MW 1.39 with I683e5ae054a0425b03c60a4af8c845b576414c1d, but
reflects ""noindex"" being given precedence in
ParserOutput::mergeHtmlMetaDataFrom() in MW 1.32
(I871978bf79f67c9e7954fb3fc8528d6e365f2cc1). In any case,
there haven't been any complains about the current behavior
in the past 8 years, so make the comment match the current
reality.";"Deprecate Title::canUseNoindex() with warnings

This is unused outside of mediawiki-core:
https://codesearch.wmcloud.org/search/?q=canUseNoindex&files=&excludeFiles=&repos=

We deprecate this method and move it to NamespaceInfo, where
it more logically belongs and where the required services and
configuration variables are already available.

In the process, update a comment in Parser about INDEX/NOINDEX
precedence which doesn't match the logic implemented in
ParserOutput::getIndexPolicy(). This may have changed in
MW 1.39 with I683e5ae054a0425b03c60a4af8c845b576414c1d, but
reflects ""noindex"" being given precedence in
ParserOutput::mergeHtmlMetaDataFrom() in MW 1.32
(I871978bf79f67c9e7954fb3fc8528d6e365f2cc1). In any case,
there haven't been any complaints about the current behavior
in the past 8 years, so make the comment match the current
reality.";"REMOVE";"KEEP";"The method Title::canUseNoindex() is deprecated and moved to NamespaceInfo, where it logically belongs. The required services and configuration variables are already available there. Additionally, a comment in Parser about INDEX/NOINDEX precedence has been updated to match the current implementation logic. No complaints about the current behavior have been reported for the past 8 years."
"mediawiki%2Fcore~1290022";"composer.json: Updated symfony/yaml from 5.4.45 to 6.4.52";"composer.json: Updated symfony/yaml from 5.4.45 to 5.4.52";"REMOVE";"REMOVE";"The change does not involve any relevant updates, additions, or improvements. It only downgrades the version of symfony/yaml which may not be beneficial."
"mediawiki%2Fcore~1287832";"HtmlformCheckerV2: emove unnecessary param";"HtmlformCheckerV2: remove unnecessary param";"REMOVE";"KEEP";"The change is semantically equivalent and improves readability by using the more common verb 'remove' instead of 'emove'. However, it does not significantly alter the meaning or functionality of the description."
"mediawiki%2Fcore~824548";"Upgrade CLDRPluralRuleParser to v1.4.0";"Upgrade CLDRPluralRuleParser to v1.6.5";"REMOVE";"REMOVE";"The change only involves a version number update, which does not require any technical details, clarification, or expansion. It is not relevant to the changes we are looking for."
"mediawiki%2Fcore~1250617";"Soft depcerate and document Base/QuickTemplate::msg() better

This method is almost entirely unused, as far as I can tell. And
for good reasons. It doesn't behave like anything else: Doesn't
return a Message object. Doesn't return a string. It's not even
equivalent to the JS method mw.msg(). In JS we get the ""text""
representation. This here returns the ""escaped"" form which means it
actually returns HTML, not text, and is wrongly or at least very
confusingly named.

Soft-deprecation doesn't do much but makes the problems more
visible both in this class as well as in old skins that still use
this.

This got motivated by Ie028cbb.";"Soft deprecate and document Base/QuickTemplate::msg() better

This method is almost entirely unused, as far as I can tell. And
for good reasons. It doesn't behave like anything else: Doesn't
return a Message object. Doesn't return a string. It's not even
equivalent to the JS method mw.msg(). In JS we get the ""text""
representation. This here returns the ""escaped"" form which means it
actually returns HTML, not text, and is wrongly or at least very
confusingly named.

Soft-deprecation doesn't do much but makes the problems more
visible both in this class as well as in old skins that still use
this.

This got motivated by Ie028cbb.";"REMOVE";"KEEP";"The method Base/QuickTemplate::msg() is not widely used, but it serves a purpose by returning the 'escaped' form which is HTML, not text. This is different from the JS method mw.msg(), but it is not wrongly named as it returns what it is intended to. Soft-deprecation of this method makes its issues more visible in the class and in old skins that still use it. The motivation for this change comes from Ie028cbb."
"mediawiki%2Fcore~1281717";"WIP: Preferences: Add an Account Security section";"Preferences: Add an Account Security section";"REMOVE";"KEEP";"The change does not involve any relevant content modifications."
"mediawiki%2Fcore~1035358";"[DNM] objectcache: Remove WinCache support

WinCache is an APCu equivalent for use with Microsoft IIS, but in recent
years has been unmaintained and lacks support for PHP 8 and newer.[1]
So, remove support for it as MediaWiki will be raising the minimum
supported PHP version to 8.1.

[1] https://www.php.net/manual/en/install.windows.recommended.php";"objectcache: Remove WinCache support

WinCache is an APCu equivalent for use with Microsoft IIS, but in recent
years has been unmaintained and lacks support for PHP 8 and newer.[1]
So, remove support for it as MediaWiki will be raising the minimum
supported PHP version to 8.1.

[1] https://www.php.net/manual/en/install.windows.recommended.php";"REMOVE";"REMOVE";"WinCache is outdated and lacks support for PHP 8 and newer. MediaWiki will be raising the minimum supported PHP version to 8.1."
"mediawiki%2Fcore~1271867";"[POC] Make HTMLFormField parent mandatory";"Make HTMLFormField parent mandatory";"REMOVE";"KEEP";"The change is straightforward and doesn't require additional technical details, clarification, or motivation. However, if there are specific reasons for making HTMLFormField parent mandatory, it would be beneficial to include them in the description."
"mediawiki%2Fcore~1281975";"improve moveusersubpage-warning message

- punctuation
- grammar (""on"" to ""in"")";"i18n: Improve moveusersubpage-warning message

- punctuation
- grammar (""on"" to ""in"")";"REMOVE";"KEEP";"The change involves improving the i18n of a warning message, which aligns with the relevant changes you specified. It adds technical details and clarifies behavior by improving the grammar."
"mediawiki%2Fcore~673802";"Move most Restriction tests to unit tests

Need to split up PageRestrictionTest into integration
tests and unit tests";"Block: Move most Restriction tests to unit tests

Need to split up PageRestrictionTest into integration
tests and unit tests";"REMOVE";"KEEP";"The change clarifies that the move of most Restriction tests is intended for unit tests, providing a clearer distinction between integration and unit tests."
"mediawiki%2Fcore~1277217";"Remove unused 'mediawiki.ui.checkbox' module

Deprecated in v1.41, now removed.
Instead, use Codex modules.";"Remove unused 'mediawiki.ui.input' module

Deprecated in v1.41, now removed.
Instead, use Codex modules.";"REMOVE";"REMOVE";"The 'mediawiki.ui.input' module is unused and deprecated in v1.41, now removed. Instead, use Codex modules."
"mediawiki%2Fcore~1281823";"WIP: Normalize thumbnail sizing in media responses

Add a MediaFileTrait function to normalize image sizes based on
the approved thumbnail steps, and use it in handlers that need
to output thumbnail-oriented links. This separates the
display-oriented sizing we have for the rest of the code that
relies on sizing from the user preferences, and is meant for
visual sizing on the screen.";"Normalize thumbnail sizing in media responses

Add a MediaFileTrait function to normalize image sizes based on
the approved thumbnail steps, and use it in handlers that need
to output thumbnail-oriented links.

This commit also separates the sizing calculations to two concepts:
- Visual size of images: based on $wgImageLimits and user options.
- Physical size of thumbnails: based on $wgThumbnailSteps and follows
the strict cached sizes of the thumbnails and their urls.

Documentation was added to emphasize the difference between the two
methods. Now that the thumbnail sizing and visual sizing are actually
different, we should continue to utilize the two methods where they
are actually relevant.";"KEEP";"KEEP";"The new description provides additional technical details and clarifies the behavior of normalizing thumbnail sizing in media responses. It explains the motivation behind separating the sizing calculations into two concepts: visual size of images and physical size of thumbnails. The documentation added also emphasizes the difference between the two methods, which is important for understanding the implementation."
"mediawiki%2Fcore~1289374";"Special:EditWatchlist: Fix incorrect selected page count

The updateSelectedPagesListHtml() function used Array.splice() to
truncate selectedPages for display purposes. splice() mutates the
original array, causing selectedPages.value.length to always equal
namedLimit + 1 (6) regardless of the actual number of checked items.

This caused the 'Remove pages' button and dialog title to show an
incorrect count in languages where the translation displays the
number (e.g. Hungarian: '$1 lap eltávolítása' shows '6 lap' instead
of the real count).

Fix: Use Array.slice() with a separate displayPages variable so the
truncation is only for the HTML list display, preserving the true
count in selectedPages.";"Special:EditWatchlist: Fix incorrect selected page count

Array.splice() was used instead of Array.slice() to truncate the
page list for display. splice() mutates the original array, causing
selectedPages to lose its true count. This was visible in languages
that display the count in the button label (e.g. Hungarian).

Use a separate displayPages variable for the truncated list so that
selectedPages retains the actual number of checked items.";"KEEP";"KEEP";"The new description provides a clearer and more concise explanation of the issue and its solution, making it easier to understand for developers. It also eliminates unnecessary details and focuses on the relevant changes."
"mediawiki%2Fcore~1256553";"Special:Preferences: Display three options for thumbsizes

Thumbnail sizes are collapsed into three options.";"Special:Preferences: Display three options for thumbsizes

Thumbnail sizes are collapsed into three options.
The thumbnail sizes that have been removed will be rewritten
when the user nexts saves preferences or a maintenance script
is run.

The class skin-theme-clientpref-thumb-(size) added in
OutputPage will round up to the closest thumbnail size until that
happens so there should only be disruption to users who modify
preferences between this patch being deployed and the
maintenance script being run. The preferences page mirrors this logic
and can be removed once the relevant user preferences maintenance
scripts have been run.";"KEEP";"KEEP";"The updated description provides additional information about the behavior and implementation of the change, which can be useful for understanding the context. It also explains potential limitations and workarounds, making it more informative than the original description."
