"change_id";"old_description";"new_description";"human_label";"differences";"llm_decision";"llm_reason"
"core~204946";"check for hb_shape_full failure




(cherry picked from commit c9c80a13a68a04e0df870d687ec7c467b245ff9a)";"check for hb_shape_full failure




(cherry picked from commit 22c19be8fae977a90f83a82d8acccd0b46c7cf20)";"REMOVE";"['The commit hash is different in both descriptions']";"KEEP";"Although the commit hashes are different, the semantic content (i.e., the action being performed) remains the same: checking for hb_shape_full failure. The commit hash is only used to identify and track specific commits in a version control system."
"core~205827";"drop isLOKTablet

follow-up of
commit ac6deb33e770c45f43973f9d8f99d0b80359b007
Author: Xisco Fauli <xiscofauli@libreoffice.org>
Date: Fri May 29 10:07:20 2026 +0200

drop isLOKMobilePhone";"drop isLOKTablet

follow-up of
commit f436c1cd89001ab8ce995f08a3f878b04cd5f963
Author: Xisco Fauli <xiscofauli@libreoffice.org>
Date: Fri May 29 10:07:20 2026 +0200

drop isLOKMobilePhone";"REMOVE";"[""The first description refers to 'drop isLOKTablet', while the second description refers to 'drop isLOKMobilePhone'. However, both descriptions have the same structure and author details.""]";"REMOVE";"The second commit description appears to be a mistake or an outdated version of the first one. It should be updated to match the first description for consistency and accuracy."
"core~203685";"fix unworking button";"tdf#148417 Return Find&Replace unworking button to menu";"REMOVE";"['The new description includes a reference number (tdf#148417), which is missing in the old description. The new description also provides more context by specifying that the unworking button belongs to the Find&Replace menu.']";"KEEP";"The additional information in the new description makes it clearer and more informative, providing better context for future reference."
"core~205332";"sc: report what value differs when the sheet view test fails

So it's easier and faster to analyze the problem if a sheet view
test fails.




(cherry picked from commit baf7abde077b2377ae0562b9e55b0fd1b283930a)";"sc: report what value differs when the sheet view test fails

So it's easier and faster to analyze the problem if a sheet view
test fails.






(cherry picked from commit 0e79aca535c753ffd083e5987b99ca54cf2e9ce5)";"REMOVE";"There is no meaningful difference between the two descriptions.";"KEEP";"Both descriptions convey the same information and serve the same purpose, which is to explain what the commit does. Maintaining consistency in commit messages can help improve readability and understanding."
"core~205287";"sc: add elements and parsing of namedSheetView*.xml files

This adds parsing of elements (namedSheetView) and sub-elements
contained in namedSheetView*.xml files. The data is contained in
NamedSheetViewData, but for now we don't do anything with this
data yet.




(cherry picked from commit a3c94c2699b73a7d5bf2900b69043098109fa9fb)";"sc: add elements and parsing of namedSheetView*.xml files

This adds parsing of elements (namedSheetView) and sub-elements
contained in namedSheetView*.xml files. The data is contained in
NamedSheetViewData, but for now we don't do anything with this
data yet.






(cherry picked from commit 7135df7768579bef1655923a125de2f440caf463)";"REMOVE";"The commit hashes are different in the two descriptions.";"KEEP";"Both descriptions provide identical information about the commit, and the change is likely due to a copy-paste error or a rebase. Maintaining both descriptions does not affect the semantic content."
"core~205853";"Related tdf#115376: generate ol and li tags for lists

TODO: in this commit we always use ordered list (since it's the example of the bugtracker)
but we should find the way to know if we must use ordered or unordered list.";"Related tdf#115376: generate ol and li tags for lists

+ change testList QA test accordingly

TODO: in this commit we always use ordered list (since it's the example of the bugtracker)
but we should find the way to know if we must use ordered or unordered list.";"REMOVE";"[""The new description includes an additional step 'change testList QA test accordingly' which is not present in the old description."", 'The new description does not specify why the test list needs to be changed.']";"KEEP";"Although the additional step might not have been necessary, it provides more context and could potentially improve the quality of testing. The reason for the change in the test list is unclear but does not significantly alter the semantic content."
"core~203150";"(WIP)tdf#167949 Stylist: Turn filters into a checkbox list";"tdf#167949 Allow for independently toggling style filters";"KEEP";"[""Old description uses 'Turn' while New description uses 'Allow for'"", ""Old description mentions 'checkbox list' while New description does not explicitly mention any UI element""]";"KEEP";"The new description is more concise and clear, avoiding the specific mention of a UI element (checkbox list) which might not be the final implementation. It also uses action-oriented language ('Allow for') that better communicates the intended functionality."
"core~205466";"Located instance of SAL_N_ELEMENTS() and updated to std::size()";"tdf#147021 Update SAL_N_ELEMENTS to std::size() in hbox.cxx";"REMOVE";"['The new description includes a reference to tdf#147021 which is missing in the old description, indicating a specific issue or ticket number. This could be useful for tracking changes within a larger project. The new description also specifies the exact file (hbox.cxx) where the change was made, while the old description does not provide such detail.']";"KEEP";"The additional details in the new description provide more context and clarity about the specific change, making it easier to understand and track within a larger project. The extra information does not detract from the main message of the commit description."
"core~204921";"toolkit: Switch broadcast_type to enum class

Also use more usual camel-case for the names.";"toolkit: Switch broadcast_type to enum class

Also use more usual camel case for the names.";"REMOVE";"['No significant differences in the content, but there is a minor difference in punctuation and capitalization.']";"KEEP";"Both descriptions convey the same semantic content: they describe a change in the 'broadcast_type' to an enum class and the use of camel case for naming. The minor differences in punctuation and capitalization do not significantly alter the meaning."
"core~204776";"sw: Add include for SwXTextRange

Fixes this build error seein in an --enable-pch=no
Windows build:

C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): error C2027: use of undefined type 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(51): note: see declaration of 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): note: the template instantiation context (the oldest one first) is
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(215): note: see reference to class template instantiation 'rtl::Reference<SwXTextRange>' being compiled
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(123): note: while compiling class template member function 'rtl::Reference<SwXTextRange>::~Reference(void)'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(220): note: see the first reference to 'rtl::Reference<SwXTextRange>::~Reference' in 'SwPasteInfo::~SwPasteInfo'";"sw: Add include for SwXTextRange

Fixes this build error seen in an --enable-pch=no
Windows build:

C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): error C2027: use of undefined type 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(51): note: see declaration of 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): note: the template instantiation context (the oldest one first) is
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(215): note: see reference to class template instantiation 'rtl::Reference<SwXTextRange>' being compiled
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(123): note: while compiling class template member function 'rtl::Reference<SwXTextRange>::~Reference(void)'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(220): note: see the first reference to 'rtl::Reference<SwXTextRange>::~Reference' in 'SwPasteInfo::~SwPasteInfo'";"REMOVE";"Both descriptions are identical.";"KEEP";"The commit description is for adding an include file, which resolves a build error. The error message and its context remain the same in both descriptions, indicating that no changes were made to the semantic content."
"mediawiki%2Fcore~1279494";"Deprecate Title::canUseNoindex() with warnings

This is unused outside of mediawiki-core:
https://codesearch.wmcloud.org/search/?q=canUseNoindex&files=&excludeFiles=&repos=

We deprecate this method and move it to NamespaceInfo, where
it more logically belongs and where the required services and
configuration variables are already available.

In the process, update a comment in Parser about INDEX/NOINDEX
precedence which doesn't match the logic implemented in
ParserOutput::getIndexPolicy(). This may have changed in
MW 1.39 with I683e5ae054a0425b03c60a4af8c845b576414c1d, but
reflects ""noindex"" being given precedence in
ParserOutput::mergeHtmlMetaDataFrom() in MW 1.32
(I871978bf79f67c9e7954fb3fc8528d6e365f2cc1). In any case,
there haven't been any complains about the current behavior
in the past 8 years, so make the comment match the current
reality.";"Deprecate Title::canUseNoindex() with warnings

This is unused outside of mediawiki-core:
https://codesearch.wmcloud.org/search/?q=canUseNoindex&files=&excludeFiles=&repos=

We deprecate this method and move it to NamespaceInfo, where
it more logically belongs and where the required services and
configuration variables are already available.

In the process, update a comment in Parser about INDEX/NOINDEX
precedence which doesn't match the logic implemented in
ParserOutput::getIndexPolicy(). This may have changed in
MW 1.39 with I683e5ae054a0425b03c60a4af8c845b576414c1d, but
reflects ""noindex"" being given precedence in
ParserOutput::mergeHtmlMetaDataFrom() in MW 1.32
(I871978bf79f67c9e7954fb3fc8528d6e365f2cc1). In any case,
there haven't been any complaints about the current behavior
in the past 8 years, so make the comment match the current
reality.";"REMOVE";"[""The new description includes an extra line break after 'In any case,' which is not present in the old description.""]";"KEEP";"While the extra line break does not change the semantic content, it improves readability and adheres to a more consistent formatting style. Therefore, it is recommended to keep this difference."
"mediawiki%2Fcore~1290022";"composer.json: Updated symfony/yaml from 5.4.45 to 6.4.52";"composer.json: Updated symfony/yaml from 5.4.45 to 5.4.52";"REMOVE";"['The version number of symfony/yaml has been updated in the new description compared to the old one. In the new description, it is still at version 5.4.xx, while in the old description, it was being updated to version 6.4.xx.']";"REMOVE";"The change in the version number indicates an upgrade which might not be intended or necessary if the project is still compatible with Symfony YAML 5.4. The description should reflect the actual update made, i.e., it should show the correct version number."
"mediawiki%2Fcore~1287832";"HtmlformCheckerV2: emove unnecessary param";"HtmlformCheckerV2: remove unnecessary param";"REMOVE";"[""'emove' instead of 'remove'"", ""'HtmlformCheckerV2:' before the change description in the old one""]";"KEEP";"While 'emove' is a typo, the addition of 'HtmlformCheckerV2:' before the change description in the old commit message provides more context and clarity. Therefore, it is recommended to keep the old commit message."
"mediawiki%2Fcore~824548";"Upgrade CLDRPluralRuleParser to v1.4.0";"Upgrade CLDRPluralRuleParser to v1.6.5";"REMOVE";"The version number of CLDRPluralRuleParser has been updated from v1.4.0 to v1.6.5.";"KEEP";"The updated version number provides information about the upgraded library, which is useful for tracking changes and potential bug fixes."
"mediawiki%2Fcore~1250617";"Soft depcerate and document Base/QuickTemplate::msg() better

This method is almost entirely unused, as far as I can tell. And
for good reasons. It doesn't behave like anything else: Doesn't
return a Message object. Doesn't return a string. It's not even
equivalent to the JS method mw.msg(). In JS we get the ""text""
representation. This here returns the ""escaped"" form which means it
actually returns HTML, not text, and is wrongly or at least very
confusingly named.

Soft-deprecation doesn't do much but makes the problems more
visible both in this class as well as in old skins that still use
this.

This got motivated by Ie028cbb.";"Soft deprecate and document Base/QuickTemplate::msg() better

This method is almost entirely unused, as far as I can tell. And
for good reasons. It doesn't behave like anything else: Doesn't
return a Message object. Doesn't return a string. It's not even
equivalent to the JS method mw.msg(). In JS we get the ""text""
representation. This here returns the ""escaped"" form which means it
actually returns HTML, not text, and is wrongly or at least very
confusingly named.

Soft-deprecation doesn't do much but makes the problems more
visible both in this class as well as in old skins that still use
this.

This got motivated by Ie028cbb.";"REMOVE";"[""The new description adds a sentence at the beginning that says 'Perform the following steps:' which is not present in the old description.""]";"KEEP";"This additional sentence does not change the semantic content of the commit description. It is likely added for clarity and organization within a larger context, such as a tutorial or documentation."
"mediawiki%2Fcore~1281717";"WIP: Preferences: Add an Account Security section";"Preferences: Add an Account Security section";"REMOVE";"[""The old description includes 'WIP' which stands for Work In Progress""]";"KEEP";"The 'WIP' notation is useful to indicate that the commit is not yet complete and should be removed once the feature is fully implemented."
"mediawiki%2Fcore~1035358";"[DNM] objectcache: Remove WinCache support

WinCache is an APCu equivalent for use with Microsoft IIS, but in recent
years has been unmaintained and lacks support for PHP 8 and newer.[1]
So, remove support for it as MediaWiki will be raising the minimum
supported PHP version to 8.1.

[1] https://www.php.net/manual/en/install.windows.recommended.php";"objectcache: Remove WinCache support

WinCache is an APCu equivalent for use with Microsoft IIS, but in recent
years has been unmaintained and lacks support for PHP 8 and newer.[1]
So, remove support for it as MediaWiki will be raising the minimum
supported PHP version to 8.1.

[1] https://www.php.net/manual/en/install.windows.recommended.php";"REMOVE";"The old description includes the abbreviation '[DNM]' at the beginning, which stands for 'Done in MediaWiki'. This abbreviation is not present in the new description.";"KEEP";"The addition of the abbreviation does not significantly alter the semantic content. It provides context about where the change was made, but it is not necessary for understanding the purpose or impact of the commit."
"mediawiki%2Fcore~1271867";"[POC] Make HTMLFormField parent mandatory";"Make HTMLFormField parent mandatory";"REMOVE";"[""The old description includes '[POC]' which stands for Proof Of Concept, indicating that the change is preliminary or experimental. The new description does not include this notation.""]";"KEEP";"While including '[POC]' in the commit message can be useful for clarity and context, it is not necessary for the actual implementation of the change. Therefore, it can be removed without altering the semantic content."
"mediawiki%2Fcore~1281975";"improve moveusersubpage-warning message

- punctuation
- grammar (""on"" to ""in"")";"i18n: Improve moveusersubpage-warning message

- punctuation
- grammar (""on"" to ""in"")";"REMOVE";"[""Old description uses standard English ('moveusersubpage-warning message'), while the new description uses i18n notation (improve 'moveusersubpage-warning' message); Old description mentions punctuation and grammar changes, while the new description only mentions grammar change""]";"KEEP";"The i18n notation indicates that this commit is related to internationalization, which provides more context about the purpose of the changes. Keeping the i18n notation would make it easier for other developers to understand the nature of the commit."
