"change_id";"old_description";"new_description";"human_label";"llm_decision";"llm_reason"
"core~204946";"check for hb_shape_full failure




(cherry picked from commit c9c80a13a68a04e0df870d687ec7c467b245ff9a)";"check for hb_shape_full failure




(cherry picked from commit 22c19be8fae977a90f83a82d8acccd0b46c7cf20)";"REMOVE";"IRRELEVANT";"The evolution between the two descriptions is irrelevant for studying semantic change as they are identical in meaning and structure, with only a different commit hash referenced."
"core~205827";"drop isLOKTablet

follow-up of
commit ac6deb33e770c45f43973f9d8f99d0b80359b007
Author: Xisco Fauli <xiscofauli@libreoffice.org>
Date: Fri May 29 10:07:20 2026 +0200

drop isLOKMobilePhone";"drop isLOKTablet

follow-up of
commit f436c1cd89001ab8ce995f08a3f878b04cd5f963
Author: Xisco Fauli <xiscofauli@libreoffice.org>
Date: Fri May 29 10:07:20 2026 +0200

drop isLOKMobilePhone";"REMOVE";"REMOVE";"The evolution between the two descriptions is irrelevant for studying semantic change as both versions describe the same action (dropping a variable named 'isLOK') and only differ in the device type mentioned (Tablet vs MobilePhone). This inconsistency does not indicate any significant semantic change."
"core~203685";"fix unworking button";"tdf#148417 Return Find&Replace unworking button to menu";"REMOVE";"KEEP";"The new description provides additional context and reference (tdf#148417) that helps in understanding the specific issue being addressed, making it more relevant for studying semantic change."
"core~205332";"sc: report what value differs when the sheet view test fails

So it's easier and faster to analyze the problem if a sheet view
test fails.




(cherry picked from commit baf7abde077b2377ae0562b9e55b0fd1b283930a)";"sc: report what value differs when the sheet view test fails

So it's easier and faster to analyze the problem if a sheet view
test fails.






(cherry picked from commit 0e79aca535c753ffd083e5987b99ca54cf2e9ce5)";"REMOVE";"IRRELEVANT";"Both descriptions are identical, no semantic change is observed."
"core~205287";"sc: add elements and parsing of namedSheetView*.xml files

This adds parsing of elements (namedSheetView) and sub-elements
contained in namedSheetView*.xml files. The data is contained in
NamedSheetViewData, but for now we don't do anything with this
data yet.




(cherry picked from commit a3c94c2699b73a7d5bf2900b69043098109fa9fb)";"sc: add elements and parsing of namedSheetView*.xml files

This adds parsing of elements (namedSheetView) and sub-elements
contained in namedSheetView*.xml files. The data is contained in
NamedSheetViewData, but for now we don't do anything with this
data yet.






(cherry picked from commit 7135df7768579bef1655923a125de2f440caf463)";"REMOVE";"IRRELEVANT";"Both descriptions are identical, no semantic change is observed."
"core~205853";"Related tdf#115376: generate ol and li tags for lists

TODO: in this commit we always use ordered list (since it's the example of the bugtracker)
but we should find the way to know if we must use ordered or unordered list.";"Related tdf#115376: generate ol and li tags for lists

+ change testList QA test accordingly

TODO: in this commit we always use ordered list (since it's the example of the bugtracker)
but we should find the way to know if we must use ordered or unordered list.";"REMOVE";"RELEVANT";"The evolution between the two descriptions shows an addition of information about updating the testList QA test, which could potentially impact the semantic change. This additional detail might affect the functionality or testing process of the commit."
"core~203150";"(WIP)tdf#167949 Stylist: Turn filters into a checkbox list";"tdf#167949 Allow for independently toggling style filters";"KEEP";"KEEP";"The evolution between the two descriptions is relevant for studying semantic change. The new description ('Allow for independently toggling style filters') provides a clearer and more concise explanation of the intended functionality compared to the old one ('(WIP)tdf#167949 Stylist: Turn filters into a checkbox list'). This change improves readability and understanding, making it easier for others to understand the purpose of the commit."
"core~205466";"Located instance of SAL_N_ELEMENTS() and updated to std::size()";"tdf#147021 Update SAL_N_ELEMENTS to std::size() in hbox.cxx";"REMOVE";"KEEP";"The new description provides additional context by referencing a specific issue (tdf#147021) and specifying the exact file (hbox.cxx) where the change was made, making it more informative and useful for understanding the semantic change."
"core~204921";"toolkit: Switch broadcast_type to enum class

Also use more usual camel-case for the names.";"toolkit: Switch broadcast_type to enum class

Also use more usual camel case for the names.";"REMOVE";"IRRELEVANT";"Both descriptions are describing the same change, with only minor differences in style and formatting. These changes do not affect the semantic meaning of the commit description."
"core~204776";"sw: Add include for SwXTextRange

Fixes this build error seein in an --enable-pch=no
Windows build:

C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): error C2027: use of undefined type 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(51): note: see declaration of 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): note: the template instantiation context (the oldest one first) is
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(215): note: see reference to class template instantiation 'rtl::Reference<SwXTextRange>' being compiled
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(123): note: while compiling class template member function 'rtl::Reference<SwXTextRange>::~Reference(void)'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(220): note: see the first reference to 'rtl::Reference<SwXTextRange>::~Reference' in 'SwPasteInfo::~SwPasteInfo'";"sw: Add include for SwXTextRange

Fixes this build error seen in an --enable-pch=no
Windows build:

C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): error C2027: use of undefined type 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(51): note: see declaration of 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): note: the template instantiation context (the oldest one first) is
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(215): note: see reference to class template instantiation 'rtl::Reference<SwXTextRange>' being compiled
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(123): note: while compiling class template member function 'rtl::Reference<SwXTextRange>::~Reference(void)'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(220): note: see the first reference to 'rtl::Reference<SwXTextRange>::~Reference' in 'SwPasteInfo::~SwPasteInfo'";"REMOVE";"IRRELEVANT";"The evolution between the two descriptions is irrelevant for studying semantic change as they both describe the same action: adding an include for 'SwXTextRange'. The error messages and build context remain unchanged, indicating that the commit description does not reflect any changes in meaning or intent."
"mediawiki%2Fcore~1279494";"Deprecate Title::canUseNoindex() with warnings

This is unused outside of mediawiki-core:
https://codesearch.wmcloud.org/search/?q=canUseNoindex&files=&excludeFiles=&repos=

We deprecate this method and move it to NamespaceInfo, where
it more logically belongs and where the required services and
configuration variables are already available.

In the process, update a comment in Parser about INDEX/NOINDEX
precedence which doesn't match the logic implemented in
ParserOutput::getIndexPolicy(). This may have changed in
MW 1.39 with I683e5ae054a0425b03c60a4af8c845b576414c1d, but
reflects ""noindex"" being given precedence in
ParserOutput::mergeHtmlMetaDataFrom() in MW 1.32
(I871978bf79f67c9e7954fb3fc8528d6e365f2cc1). In any case,
there haven't been any complains about the current behavior
in the past 8 years, so make the comment match the current
reality.";"Deprecate Title::canUseNoindex() with warnings

This is unused outside of mediawiki-core:
https://codesearch.wmcloud.org/search/?q=canUseNoindex&files=&excludeFiles=&repos=

We deprecate this method and move it to NamespaceInfo, where
it more logically belongs and where the required services and
configuration variables are already available.

In the process, update a comment in Parser about INDEX/NOINDEX
precedence which doesn't match the logic implemented in
ParserOutput::getIndexPolicy(). This may have changed in
MW 1.39 with I683e5ae054a0425b03c60a4af8c845b576414c1d, but
reflects ""noindex"" being given precedence in
ParserOutput::mergeHtmlMetaDataFrom() in MW 1.32
(I871978bf79f67c9e7954fb3fc8528d6e365f2cc1). In any case,
there haven't been any complaints about the current behavior
in the past 8 years, so make the comment match the current
reality.";"REMOVE";"KEEP";"The evolution between the two descriptions is irrelevant for studying semantic change as they both convey the same information about the deprecation of a method and its movement to another class, along with an update to a comment in Parser."
"mediawiki%2Fcore~1290022";"composer.json: Updated symfony/yaml from 5.4.45 to 6.4.52";"composer.json: Updated symfony/yaml from 5.4.45 to 5.4.52";"REMOVE";"REMOVE";"The evolution is irrelevant for studying semantic change as both versions are of the same major version (5.4), and only the minor version number has changed, which typically does not introduce significant semantic changes."
"mediawiki%2Fcore~1287832";"HtmlformCheckerV2: emove unnecessary param";"HtmlformCheckerV2: remove unnecessary param";"REMOVE";"KEEP";"Both descriptions convey the same meaning, which is removing an unnecessary parameter in HtmlformCheckerV2. The minor difference in verb tense ('emove' vs 'remove') does not significantly alter the semantic intent."
"mediawiki%2Fcore~824548";"Upgrade CLDRPluralRuleParser to v1.4.0";"Upgrade CLDRPluralRuleParser to v1.6.5";"REMOVE";"KEEP";"The evolution is relevant for studying semantic change as it indicates an update to a specific version of the CLDRPluralRuleParser, which may introduce new features or bug fixes."
"mediawiki%2Fcore~1250617";"Soft depcerate and document Base/QuickTemplate::msg() better

This method is almost entirely unused, as far as I can tell. And
for good reasons. It doesn't behave like anything else: Doesn't
return a Message object. Doesn't return a string. It's not even
equivalent to the JS method mw.msg(). In JS we get the ""text""
representation. This here returns the ""escaped"" form which means it
actually returns HTML, not text, and is wrongly or at least very
confusingly named.

Soft-deprecation doesn't do much but makes the problems more
visible both in this class as well as in old skins that still use
this.

This got motivated by Ie028cbb.";"Soft deprecate and document Base/QuickTemplate::msg() better

This method is almost entirely unused, as far as I can tell. And
for good reasons. It doesn't behave like anything else: Doesn't
return a Message object. Doesn't return a string. It's not even
equivalent to the JS method mw.msg(). In JS we get the ""text""
representation. This here returns the ""escaped"" form which means it
actually returns HTML, not text, and is wrongly or at least very
confusingly named.

Soft-deprecation doesn't do much but makes the problems more
visible both in this class as well as in old skins that still use
this.

This got motivated by Ie028cbb.";"REMOVE";"KEEP";"The evolution between the two descriptions is irrelevant for studying semantic change as they both provide a clear and concise explanation of the issue with the method, its usage, and the motivation behind the changes. The minor differences in phrasing do not significantly alter the meaning or intent of the commit description."
"mediawiki%2Fcore~1281717";"WIP: Preferences: Add an Account Security section";"Preferences: Add an Account Security section";"REMOVE";"KEEP";"The evolution between the two descriptions is irrelevant for studying semantic change as both versions describe the same action: adding an Account Security section to Preferences."
"mediawiki%2Fcore~1035358";"[DNM] objectcache: Remove WinCache support

WinCache is an APCu equivalent for use with Microsoft IIS, but in recent
years has been unmaintained and lacks support for PHP 8 and newer.[1]
So, remove support for it as MediaWiki will be raising the minimum
supported PHP version to 8.1.

[1] https://www.php.net/manual/en/install.windows.recommended.php";"objectcache: Remove WinCache support

WinCache is an APCu equivalent for use with Microsoft IIS, but in recent
years has been unmaintained and lacks support for PHP 8 and newer.[1]
So, remove support for it as MediaWiki will be raising the minimum
supported PHP version to 8.1.

[1] https://www.php.net/manual/en/install.windows.recommended.php";"REMOVE";"IRRELEVANT";"Both descriptions are concise and clear, with no significant changes in semantics or style. The removal of the '[DNM]' tag is a minor formatting change that does not affect the meaning."
"mediawiki%2Fcore~1271867";"[POC] Make HTMLFormField parent mandatory";"Make HTMLFormField parent mandatory";"REMOVE";"KEEP";"The evolution between the two descriptions is irrelevant for studying semantic change as both versions convey the same meaning: making HTMLFormField parent mandatory."
"mediawiki%2Fcore~1281975";"improve moveusersubpage-warning message

- punctuation
- grammar (""on"" to ""in"")";"i18n: Improve moveusersubpage-warning message

- punctuation
- grammar (""on"" to ""in"")";"REMOVE";"REMOVE";"The evolution between the two descriptions is irrelevant for studying semantic change as it only involves minor changes in punctuation, grammar, and adding an i18n tag, which does not significantly alter the meaning of the commit description."
"mediawiki%2Fcore~673802";"Move most Restriction tests to unit tests

Need to split up PageRestrictionTest into integration
tests and unit tests";"Block: Move most Restriction tests to unit tests

Need to split up PageRestrictionTest into integration
tests and unit tests";"REMOVE";"KEEP";"The evolution between the two descriptions is relevant for studying semantic change. The 'Block' addition in the new description provides a clearer indication of the action being taken (blocking or isolating certain tests), which could potentially impact the understanding and execution of the task."
"mediawiki%2Fcore~1277217";"Remove unused 'mediawiki.ui.checkbox' module

Deprecated in v1.41, now removed.
Instead, use Codex modules.";"Remove unused 'mediawiki.ui.input' module

Deprecated in v1.41, now removed.
Instead, use Codex modules.";"REMOVE";"REMOVE";"Both descriptions refer to the removal of an unused module, but there is a difference in the name of the module. This change indicates a semantic shift as 'mediawiki.ui.checkbox' has been replaced by 'mediawiki.ui.input'. However, since the new description does not provide additional information about the functionality or purpose of the replaced module, it can be considered irrelevant for studying semantic change in this context."
"mediawiki%2Fcore~1281823";"WIP: Normalize thumbnail sizing in media responses

Add a MediaFileTrait function to normalize image sizes based on
the approved thumbnail steps, and use it in handlers that need
to output thumbnail-oriented links. This separates the
display-oriented sizing we have for the rest of the code that
relies on sizing from the user preferences, and is meant for
visual sizing on the screen.";"Normalize thumbnail sizing in media responses

Add a MediaFileTrait function to normalize image sizes based on
the approved thumbnail steps, and use it in handlers that need
to output thumbnail-oriented links.

This commit also separates the sizing calculations to two concepts:
- Visual size of images: based on $wgImageLimits and user options.
- Physical size of thumbnails: based on $wgThumbnailSteps and follows
the strict cached sizes of the thumbnails and their urls.

Documentation was added to emphasize the difference between the two
methods. Now that the thumbnail sizing and visual sizing are actually
different, we should continue to utilize the two methods where they
are actually relevant.";"KEEP";"KEEP";"The evolution between the two descriptions is relevant for studying semantic change. The new description provides additional context and clarification about the separation of sizing calculations into two concepts: visual size and physical size of thumbnails. This added information helps to better understand the changes made in the commit."
"mediawiki%2Fcore~1289374";"Special:EditWatchlist: Fix incorrect selected page count

The updateSelectedPagesListHtml() function used Array.splice() to
truncate selectedPages for display purposes. splice() mutates the
original array, causing selectedPages.value.length to always equal
namedLimit + 1 (6) regardless of the actual number of checked items.

This caused the 'Remove pages' button and dialog title to show an
incorrect count in languages where the translation displays the
number (e.g. Hungarian: '$1 lap eltávolítása' shows '6 lap' instead
of the real count).

Fix: Use Array.slice() with a separate displayPages variable so the
truncation is only for the HTML list display, preserving the true
count in selectedPages.";"Special:EditWatchlist: Fix incorrect selected page count

Array.splice() was used instead of Array.slice() to truncate the
page list for display. splice() mutates the original array, causing
selectedPages to lose its true count. This was visible in languages
that display the count in the button label (e.g. Hungarian).

Use a separate displayPages variable for the truncated list so that
selectedPages retains the actual number of checked items.";"KEEP";"KEEP";"Both descriptions convey the same information about the issue and its solution, but the new description provides a slightly clearer explanation of why using Array.splice() instead of Array.slice() caused the problem, and how using a separate displayPages variable solves it. However, the main focus and semantics remain the same."
