project,change_id,patchset_count,old_patchset,new_patchset,old_message_clean,new_message_clean
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,6,7,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!."
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,7,8,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki."
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,8,9,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!."
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,9,10,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki."
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,10,11,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!."
wikimedia,mediawiki%2Fextensions%2FWanda~1305853,13,11,12,"ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki.

Linting verified by running PHP 8.3.6 | 10 parallel jobs
............ 12/12 (100%)

Checked 12 files in 0 seconds
No syntax error found
............ 12 / 12 (100%)

Time: 49ms; Memory: 8MB

MinusX
======
Processing /home/neha/gssoc/Wanda...
............................................................
All good!.","ExternalWikiSearchHandler: Add support for wiki-specific search parameters

The current handler does not allow filtering by specific wiki endpoints.
This change adds a new parameter validation layer to ensure search
requests are correctly routed to the appropriate external wiki."
wikimedia,mediawiki%2Fextensions%2FEcho~608884,47,3,4,Notify users of multi-revision undos and reverts,"Notify users of multi-revision undos and reverts, and EditResult-related cleanup

It is possible to revert multiple users, but currently no user will be notified for that case. This commit notifies all users whose edits were reverted. It also cleans up Echo hooks, which can be simplified/changed as a result of EditResult being added to the core."
wikimedia,mediawiki%2Fextensions%2FEcho~608884,47,16,17,"Notify users of multi-revision undos and reverts, and EditResult-related cleanup

It is possible to revert multiple users, but currently no user will be notified for that case. This commit notifies all users whose edits were reverted. It also cleans up Echo hooks, which can be simplified/changed as a result of EditResult being added to the core.","Notify users of multi-revision reverts; EditResult-related cleanup

It is possible to revert multiple users, but currently no user will
be notified for that case. This commit notifies all users whose edits
were reverted. It also cleans up Echo hooks, which can be
simplified/changed as a result of EditResult being added to the core.

TODO: tests, both automated and manual"
wikimedia,mediawiki%2Fextensions%2FEcho~608884,47,19,20,"Notify users of multi-revision reverts; EditResult-related cleanup

It is possible to revert multiple users, but currently no user will
be notified for that case. This commit notifies all users whose edits
were reverted. It also cleans up Echo hooks, which can be
simplified/changed as a result of EditResult being added to the core.

TODO: tests, both automated and manual","Notify users of multi-revision reverts; EditResult-related cleanup

Goals:
* Clean up two Echo hooks that can be simplified thanks to the
introduction of EditResult in core. This also gets rid of a
pesky static variable in EchoHooks.php.
* Notify all reverted users in multi-edit reverts.
* Correctly inform the user whether a single or multiple edits were
reverted.
* Notify users about manual reverts.

TODO: tests, both automated and manual"
wikimedia,mediawiki%2Fextensions%2FEcho~608884,47,23,24,"Notify users of multi-revision reverts; EditResult-related cleanup

Goals:
* Clean up two Echo hooks that can be simplified thanks to the
introduction of EditResult in core. This also gets rid of a
pesky static variable in EchoHooks.php.
* Notify all reverted users in multi-edit reverts.
* Correctly inform the user whether a single or multiple edits were
reverted.
* Notify users about manual reverts.

TODO: tests, both automated and manual","Notify users of multi-revision reverts; EditResult-related cleanup

Goals:
* Clean up two Echo hooks that can be simplified thanks to the
introduction of EditResult in core. This also gets rid of a
pesky static variable in EchoHooks.php.
* Notify all reverted users in multi-edit reverts.
* Correctly inform the user whether a single or multiple edits were
reverted.
* Notify users about manual reverts.

Added a lot of tests, also tested the new functionality manully.
Seems to work."
wikimedia,mediawiki%2Fextensions%2FEcho~608884,47,24,25,"Notify users of multi-revision reverts; EditResult-related cleanup

Goals:
* Clean up two Echo hooks that can be simplified thanks to the
introduction of EditResult in core. This also gets rid of a
pesky static variable in EchoHooks.php.
* Notify all reverted users in multi-edit reverts.
* Correctly inform the user whether a single or multiple edits were
reverted.
* Notify users about manual reverts.

Added a lot of tests, also tested the new functionality manully.
Seems to work.","Notify users of multi-revision reverts; EditResult-related cleanup

Goals:
* Clean up two Echo hooks that can be simplified thanks to the
introduction of EditResult in core. This also gets rid of a
pesky static variable in EchoHooks.php.
* Notify all reverted users in multi-edit reverts.
* Correctly inform the user whether a single or multiple edits were
reverted.
* Notify users about manual reverts.

Added a lot of tests, also tested the new functionality manually.
Seems to work."
wikimedia,mediawiki%2Fextensions%2FEcho~608884,47,30,31,"Notify users of multi-revision reverts; EditResult-related cleanup

Goals:
* Clean up two Echo hooks that can be simplified thanks to the
introduction of EditResult in core. This also gets rid of a
pesky static variable in EchoHooks.php.
* Notify all reverted users in multi-edit reverts.
* Correctly inform the user whether a single or multiple edits were
reverted.
* Notify users about manual reverts.

Added a lot of tests, also tested the new functionality manually.
Seems to work.","Notify users of multi-revision reverts; EditResult-related cleanup

Goals:
* Clean up two Echo hooks that can be simplified thanks to the
introduction of EditResult in core. This also gets rid of a
pesky static variable in EchoHooks.php.
* Notify all reverted users in multi-edit reverts.
* Correctly inform the user whether a single or multiple edits were
reverted.
* Notify users about manual reverts.

Added a lot of tests, also tested the new functionality manually.
Seems to work.

Marked EchoTalkPageFunctionalTest as Broken, as I can't figure out
how to fix it and what is really the issue. I've attempted to make
it a little bit more tolerant of other events, but that still does
not work. See T67336 and I7a79e0eaa1617e4d87a8d615a5391723c0e30b6a"
wikimedia,mediawiki%2Fextensions%2FEcho~608884,47,41,42,"Notify users of multi-revision reverts; EditResult-related cleanup

Goals:
* Clean up two Echo hooks that can be simplified thanks to the
introduction of EditResult in core. This also gets rid of a
pesky static variable in EchoHooks.php.
* Notify all reverted users in multi-edit reverts.
* Correctly inform the user whether a single or multiple edits were
reverted.
* Notify users about manual reverts.

Added a lot of tests, also tested the new functionality manually.
Seems to work.

Marked EchoTalkPageFunctionalTest as Broken, as I can't figure out
how to fix it and what is really the issue. I've attempted to make
it a little bit more tolerant of other events, but that still does
not work. See T67336 and I7a79e0eaa1617e4d87a8d615a5391723c0e30b6a","Notify users of multi-revision reverts; EditResult-related cleanup

Goals:
* Clean up two Echo hooks that can be simplified thanks to the
introduction of EditResult in core.
* Notify all reverted users in multi-edit reverts.
* Correctly inform the user whether a single or multiple edits were
reverted.
* Notify users about manual reverts.

Added a lot of tests, also tested the new functionality manually.
Seems to work."
wikimedia,mediawiki%2Fextensions%2FEcho~330587,11,2,3,"Notify users of multiple-revisions undos

For multiple-revisions undos, this notifies each author
of the reverted edits. This also provides a way to count
the number of edits authored by each notified user.
In addition, the rollback hook is removed since it can
now be handled by the PageContentSaveComplete hook.","Notify users of multiple-revisions undos

For multiple-revisions undos or manual restores, this
notifies each author of the reverted edits. This also
provides a way to count the number of edits authored
by each notified user.
In addition, the rollback hook is removed since it can
now be handled by the PageContentSaveComplete hook."
wikimedia,mediawiki%2Fextensions%2FEcho~330587,11,3,4,"Notify users of multiple-revisions undos

For multiple-revisions undos or manual restores, this
notifies each author of the reverted edits. This also
provides a way to count the number of edits authored
by each notified user.
In addition, the rollback hook is removed since it can
now be handled by the PageContentSaveComplete hook.","Notify users of multiple-revisions undos

For multiple-revisions undos or manual restores, this
notifies each author of the reverted edits. This also
provides a way to count the number of edits authored
by each notified user. Furthermore, this uses the new
hook param 'autoSummHash' to check if the summary was
an automatic one (so this now handles rollbacks)."
wikimedia,mediawiki%2Fextensions%2FEcho~330587,11,4,5,"Notify users of multiple-revisions undos

For multiple-revisions undos or manual restores, this
notifies each author of the reverted edits. This also
provides a way to count the number of edits authored
by each notified user. Furthermore, this uses the new
hook param 'autoSummHash' to check if the summary was
an automatic one (so this now handles rollbacks).","Notify users of multiple-revisions undos and assorted fixes

For multiple-revisions undos or manual restores, this
notifies each author of the reverted edits. This also
provides a way to count the number of edits authored by
each notified user. Furthermore, this checks whether an
autosummary was used using the new EditResult object (so
this now handles rollbacks), and this avoids notifying
users of a new page link in case of exact reverts."
wikimedia,mediawiki%2Fextensions%2FEcho~700238,3,2,3,"Disable notifications when a created page is linked with a revert

A change is revert if it's tagged using the dedicated change tags.
Drop obsolete broken code (per its comment).","[WIP] Disable notifications when a created page is linked with a revert

A change is revert if it's tagged using the dedicated change tags.
Avoid global state."
wikimedia,mediawiki%2Fcore~1301450,36,1,2,"Prompt for reauthentication after submitting a site JS edit, not before","[WIP] Prompt for reauthentication after submitting a site JS edit, not before"
wikimedia,mediawiki%2Fcore~1301450,36,17,18,"[WIP] Prompt for reauthentication after submitting a site JS edit, not before","Prompt for reauthentication after submitting a site JS edit, not before

This change set:

* Integrates new core re-auth/priv-elevation functionality into
EditPage, specifically for editing site/user js/css.

* Adds a new data stashing trait. Since we want to re-auth after
a form save attempt, we need to store any relevant user-submitted
data in the session. We persist this data with a short TTL so it
doesn't linger forever after bad re-auth attempts or page reloads.
Ultimately, this code could probably live somewhere else in core,
but it should be ok for now as a trait, for this use-case."
wikimedia,mediawiki%2Fextensions%2FOATHAuth~1305277,6,1,2,"Reauthentication: Skip directly to second factor when available

This is messy and needs cleanup, but it works (at least for users with
passkeys):

TODO:
- Test for users without passkeys, with various combinations of 2FA
methods
- Add a button to switch back to passkey after switching away from it
- Rename ""Use security key or passkey"" to ""Use security key"" in this
context
- When switching to security key, only offer security keys, not passkeys","Reauthentication: Skip directly to second factor when available

Add a primary authentication provider that only handles
reauthentication, and wraps SecondaryAuthenticationProvider to offer the
2FA methods the user has available. Put passkey and security key
authentication behind a button, so the user has a chance to read the
reauthentication screen (and verify the requested action) before
proceeding.

Use the onAuthChangeFormFields hook handler to hide the password field
and tweak the appearance of the buttons."
wikimedia,mediawiki%2Fcore~1301465,20,1,2,"Reauth: Add personalized message

Adds personalized message to reauth page
to indiate what user is signed in","Reauth: Add banner and message

Adds banner and description to reauth page
for clarification"
wikimedia,mediawiki%2Fcore~1301465,20,3,4,"Reauth: Add banner and message

Adds banner and description to reauth page
for clarification","Reauth: Update banner and add message

Updates banner and adds a description
to reauth page for clarification"
wikimedia,mediawiki%2Fcore~1305723,9,8,9,"Tests: tweaks to budget tests

* Allow extensions to declare modules in bundlesize for tracking
purposes without permitting them on page load
* Test on Minerva as well to protect mobile experience","Tests: tweaks to budget tests

* Allow extensions to declare modules in bundlesize for tracking
purposes without permitting them on page load
* Allow extension to test on other skins"
libreoffice,core~196196,15,1,2,"tdf#41007 sw: Inserting multiple images via the insert dialog.

The MultiSelection flag has been added to FileDialogHelper to
allow selecting multiple images. File selection is now handled as
a list instead of a string. Calls to UnSelectFrame() and
LeaveSelFrameMode() have been added to
SwWrtShell::InsertGraphic, similar to the
SwContentControlType::PICTURE case in the
SwWrtShell::InsertContentControl method.","tdf#41007 sw: Inserting multiple images via the insert dialog.

Added the behavior of inserting multiple images through the insert
dialog, similar to DnD behavior.

The MultiSelection flag has been added to FileDialogHelper to
allow selecting multiple images. File selection is now handled as
a list instead of a string. Calls to UnSelectFrame() and
LeaveSelFrameMode() have been added to
SwWrtShell::InsertGraphic, similar to the
SwContentControlType::PICTURE case in the
SwWrtShell::InsertContentControl method."
