"change_id";"old_description";"new_description";"human_label";"category";"llm_decision";"llm_reason"
"core~204946";"check for hb_shape_full failure




(cherry picked from commit c9c80a13a68a04e0df870d687ec7c467b245ff9a)";"check for hb_shape_full failure




(cherry picked from commit 22c19be8fae977a90f83a82d8acccd0b46c7cf20)";"REMOVE";"Other";"KEEP";"Both commit descriptions are identical in terms of the action being performed and the code change, but they differ in their associated Git commit IDs. This difference could be due to various reasons such as different branches, repositories, or even multiple commits addressing the same issue. However, for the purpose of semantic analysis, it is still relevant to track these differences."
"core~205827";"drop isLOKTablet

follow-up of
commit ac6deb33e770c45f43973f9d8f99d0b80359b007
Author: Xisco Fauli <xiscofauli@libreoffice.org>
Date: Fri May 29 10:07:20 2026 +0200

drop isLOKMobilePhone";"drop isLOKTablet

follow-up of
commit f436c1cd89001ab8ce995f08a3f878b04cd5f963
Author: Xisco Fauli <xiscofauli@libreoffice.org>
Date: Fri May 29 10:07:20 2026 +0200

drop isLOKMobilePhone";"REMOVE";"Technical Detail";"KEEP";"The commit descriptions are related to the removal of specific variables (isLOKTablet and isLOKMobilePhone) from the codebase, which is a technical detail."
"core~203685";"fix unworking button";"tdf#148417 Return Find&Replace unworking button to menu";"REMOVE";"Bug Explanation";"KEEP";"The old description indicates a problem with the button, while the new one provides additional context and references a specific issue number (tdf#148417), which suggests it is related to a bug."
"core~205332";"sc: report what value differs when the sheet view test fails

So it's easier and faster to analyze the problem if a sheet view
test fails.




(cherry picked from commit baf7abde077b2377ae0562b9e55b0fd1b283930a)";"sc: report what value differs when the sheet view test fails

So it's easier and faster to analyze the problem if a sheet view
test fails.






(cherry picked from commit 0e79aca535c753ffd083e5987b99ca54cf2e9ce5)";"REMOVE";"Clarification";"KEEP";"Both commit descriptions provide the same clarification about the purpose of the code change, which is to make it easier and faster to analyze a problem when a sheet view test fails."
"core~205287";"sc: add elements and parsing of namedSheetView*.xml files

This adds parsing of elements (namedSheetView) and sub-elements
contained in namedSheetView*.xml files. The data is contained in
NamedSheetViewData, but for now we don't do anything with this
data yet.




(cherry picked from commit a3c94c2699b73a7d5bf2900b69043098109fa9fb)";"sc: add elements and parsing of namedSheetView*.xml files

This adds parsing of elements (namedSheetView) and sub-elements
contained in namedSheetView*.xml files. The data is contained in
NamedSheetViewData, but for now we don't do anything with this
data yet.






(cherry picked from commit 7135df7768579bef1655923a125de2f440caf463)";"REMOVE";"Feature Description";"KEEP";"Both commit descriptions are describing the addition of a new feature, which involves parsing namedSheetView*.xml files. This is relevant for studying semantic change as it shows the evolution of features over time."
"core~205853";"Related tdf#115376: generate ol and li tags for lists

TODO: in this commit we always use ordered list (since it's the example of the bugtracker)
but we should find the way to know if we must use ordered or unordered list.";"Related tdf#115376: generate ol and li tags for lists

+ change testList QA test accordingly

TODO: in this commit we always use ordered list (since it's the example of the bugtracker)
but we should find the way to know if we must use ordered or unordered list.";"REMOVE";"Clarification";"KEEP";"The new commit description adds a clarification about updating the testList QA test, which provides more context and improves understanding of the changes made."
"core~203150";"(WIP)tdf#167949 Stylist: Turn filters into a checkbox list";"tdf#167949 Allow for independently toggling style filters";"KEEP";"Feature Description";"KEEP";"The evolution describes a change in functionality, from turning filters into a checkbox list to allowing for independently toggling style filters. This change is relevant for studying semantic change as it shows how the feature's description has been refined over time."
"core~205466";"Located instance of SAL_N_ELEMENTS() and updated to std::size()";"tdf#147021 Update SAL_N_ELEMENTS to std::size() in hbox.cxx";"REMOVE";"Technical Detail Added";"KEEP";"The commit description provides information about the specific file (hbox.cxx) where the change was made, which adds technical detail and is relevant for studying semantic change."
"core~204921";"toolkit: Switch broadcast_type to enum class

Also use more usual camel-case for the names.";"toolkit: Switch broadcast_type to enum class

Also use more usual camel case for the names.";"REMOVE";"Formatting";"KEEP";"Both commit descriptions are essentially the same, with only a minor change in formatting (camel case). This does not significantly alter the semantic meaning of the commit and is therefore considered a cosmetic change."
"core~204776";"sw: Add include for SwXTextRange

Fixes this build error seein in an --enable-pch=no
Windows build:

C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): error C2027: use of undefined type 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(51): note: see declaration of 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): note: the template instantiation context (the oldest one first) is
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(215): note: see reference to class template instantiation 'rtl::Reference<SwXTextRange>' being compiled
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(123): note: while compiling class template member function 'rtl::Reference<SwXTextRange>::~Reference(void)'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(220): note: see the first reference to 'rtl::Reference<SwXTextRange>::~Reference' in 'SwPasteInfo::~SwPasteInfo'";"sw: Add include for SwXTextRange

Fixes this build error seen in an --enable-pch=no
Windows build:

C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): error C2027: use of undefined type 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(51): note: see declaration of 'SwXTextRange'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(126): note: the template instantiation context (the oldest one first) is
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(215): note: see reference to class template instantiation 'rtl::Reference<SwXTextRange>' being compiled
C:\Users\mwegh\development\git\libreoffice-WORKTREE\include\rtl/ref.hxx(123): note: while compiling class template member function 'rtl::Reference<SwXTextRange>::~Reference(void)'
C:\Users\mwegh\development\git\libreoffice-WORKTREE\sw\inc\shellio.hxx(220): note: see the first reference to 'rtl::Reference<SwXTextRange>::~Reference' in 'SwPasteInfo::~SwPasteInfo'";"REMOVE";"Technical Detail Added";"KEEP";"The commit descriptions are identical, indicating that the same change was made but the commit messages were not updated. This can be useful for understanding the history of the codebase and tracking down potential issues."
"mediawiki%2Fcore~1279494";"Deprecate Title::canUseNoindex() with warnings

This is unused outside of mediawiki-core:
https://codesearch.wmcloud.org/search/?q=canUseNoindex&files=&excludeFiles=&repos=

We deprecate this method and move it to NamespaceInfo, where
it more logically belongs and where the required services and
configuration variables are already available.

In the process, update a comment in Parser about INDEX/NOINDEX
precedence which doesn't match the logic implemented in
ParserOutput::getIndexPolicy(). This may have changed in
MW 1.39 with I683e5ae054a0425b03c60a4af8c845b576414c1d, but
reflects ""noindex"" being given precedence in
ParserOutput::mergeHtmlMetaDataFrom() in MW 1.32
(I871978bf79f67c9e7954fb3fc8528d6e365f2cc1). In any case,
there haven't been any complains about the current behavior
in the past 8 years, so make the comment match the current
reality.";"Deprecate Title::canUseNoindex() with warnings

This is unused outside of mediawiki-core:
https://codesearch.wmcloud.org/search/?q=canUseNoindex&files=&excludeFiles=&repos=

We deprecate this method and move it to NamespaceInfo, where
it more logically belongs and where the required services and
configuration variables are already available.

In the process, update a comment in Parser about INDEX/NOINDEX
precedence which doesn't match the logic implemented in
ParserOutput::getIndexPolicy(). This may have changed in
MW 1.39 with I683e5ae054a0425b03c60a4af8c845b576414c1d, but
reflects ""noindex"" being given precedence in
ParserOutput::mergeHtmlMetaDataFrom() in MW 1.32
(I871978bf79f67c9e7954fb3fc8528d6e365f2cc1). In any case,
there haven't been any complaints about the current behavior
in the past 8 years, so make the comment match the current
reality.";"REMOVE";"Clarification";"KEEP";"The evolution describes the clarification of a comment in Parser about INDEX/NOINDEX precedence, which doesn't match the logic implemented in ParserOutput::getIndexPolicy(). This change is relevant for studying semantic change as it improves the accuracy and consistency of the code documentation."
"mediawiki%2Fcore~1290022";"composer.json: Updated symfony/yaml from 5.4.45 to 6.4.52";"composer.json: Updated symfony/yaml from 5.4.45 to 5.4.52";"REMOVE";"Technical Detail Added";"IRRELEVANT";"The change in version number indicates an update, but the new version is still within the same major release (5.x), making it irrelevant for studying semantic change."
"mediawiki%2Fcore~1287832";"HtmlformCheckerV2: emove unnecessary param";"HtmlformCheckerV2: remove unnecessary param";"REMOVE";"Clarification";"KEEP";"The change from 'emove' to 'remove' in the commit description is a minor formatting adjustment for improved readability, which does not significantly impact the semantic meaning of the commit. Therefore, it is relevant for studying semantic change as it demonstrates an evolution towards clearer and more standardized language."
"mediawiki%2Fcore~824548";"Upgrade CLDRPluralRuleParser to v1.4.0";"Upgrade CLDRPluralRuleParser to v1.6.5";"REMOVE";"Technical Detail Added";"KEEP";"The commit description indicates an upgrade to a newer version of CLDRPluralRuleParser, which suggests technical details have been added or updated in the codebase."
"mediawiki%2Fcore~1250617";"Soft depcerate and document Base/QuickTemplate::msg() better

This method is almost entirely unused, as far as I can tell. And
for good reasons. It doesn't behave like anything else: Doesn't
return a Message object. Doesn't return a string. It's not even
equivalent to the JS method mw.msg(). In JS we get the ""text""
representation. This here returns the ""escaped"" form which means it
actually returns HTML, not text, and is wrongly or at least very
confusingly named.

Soft-deprecation doesn't do much but makes the problems more
visible both in this class as well as in old skins that still use
this.

This got motivated by Ie028cbb.";"Soft deprecate and document Base/QuickTemplate::msg() better

This method is almost entirely unused, as far as I can tell. And
for good reasons. It doesn't behave like anything else: Doesn't
return a Message object. Doesn't return a string. It's not even
equivalent to the JS method mw.msg(). In JS we get the ""text""
representation. This here returns the ""escaped"" form which means it
actually returns HTML, not text, and is wrongly or at least very
confusingly named.

Soft-deprecation doesn't do much but makes the problems more
visible both in this class as well as in old skins that still use
this.

This got motivated by Ie028cbb.";"REMOVE";"Clarification";"KEEP";"The evolution does not introduce any new semantic changes, but rather clarifies the existing issues with the method Base/QuickTemplate::msg(). This is relevant for studying semantic change as it provides more context and understanding about the problematic function."
"mediawiki%2Fcore~1281717";"WIP: Preferences: Add an Account Security section";"Preferences: Add an Account Security section";"REMOVE";"Feature Description";"KEEP";"The commit descriptions both describe the addition of an Account Security section in Preferences, but the old description includes 'WIP' which stands for Work In Progress, indicating that it is a work-in-progress commit. This information might be useful when studying semantic change as it shows the evolution from a work-in-progress to a completed feature."
"mediawiki%2Fcore~1035358";"[DNM] objectcache: Remove WinCache support

WinCache is an APCu equivalent for use with Microsoft IIS, but in recent
years has been unmaintained and lacks support for PHP 8 and newer.[1]
So, remove support for it as MediaWiki will be raising the minimum
supported PHP version to 8.1.

[1] https://www.php.net/manual/en/install.windows.recommended.php";"objectcache: Remove WinCache support

WinCache is an APCu equivalent for use with Microsoft IIS, but in recent
years has been unmaintained and lacks support for PHP 8 and newer.[1]
So, remove support for it as MediaWiki will be raising the minimum
supported PHP version to 8.1.

[1] https://www.php.net/manual/en/install.windows.recommended.php";"REMOVE";"Other";"KEEP";"The evolution in the commit descriptions is minimal, focusing on clarity and brevity. The change does not significantly alter the semantic meaning or purpose of the commit, making it irrelevant for studying semantic change."
"mediawiki%2Fcore~1271867";"[POC] Make HTMLFormField parent mandatory";"Make HTMLFormField parent mandatory";"REMOVE";"Feature Description";"KEEP";"The change in commit descriptions reflects the development of a feature, making HTMLFormField parent mandatory. This is relevant for studying semantic change as it shows the progression from a proof-of-concept (POC) to a full implementation."
"mediawiki%2Fcore~1281975";"improve moveusersubpage-warning message

- punctuation
- grammar (""on"" to ""in"")";"i18n: Improve moveusersubpage-warning message

- punctuation
- grammar (""on"" to ""in"")";"REMOVE";"Formatting";"KEEP";"Both commit descriptions have undergone formatting changes, such as punctuation and grammar adjustments. However, the new description also includes additional metadata (i18n) which indicates this change is related to internationalization, making it relevant for studying semantic change."
"mediawiki%2Fcore~673802";"Move most Restriction tests to unit tests

Need to split up PageRestrictionTest into integration
tests and unit tests";"Block: Move most Restriction tests to unit tests

Need to split up PageRestrictionTest into integration
tests and unit tests";"REMOVE";"Clarification";"KEEP";"The new commit description includes the 'Block' keyword, which is used to denote a GitHub issue or pull request, providing additional context and clarity compared to the old commit description."
"mediawiki%2Fcore~1277217";"Remove unused 'mediawiki.ui.checkbox' module

Deprecated in v1.41, now removed.
Instead, use Codex modules.";"Remove unused 'mediawiki.ui.input' module

Deprecated in v1.41, now removed.
Instead, use Codex modules.";"REMOVE";"Implementation Detail";"KEEP";"Both commit descriptions indicate the removal of unused modules, which is an implementation detail. This evolution can be relevant for studying semantic change as it shows the deprecation and eventual removal of certain functionalities."
"mediawiki%2Fcore~1281823";"WIP: Normalize thumbnail sizing in media responses

Add a MediaFileTrait function to normalize image sizes based on
the approved thumbnail steps, and use it in handlers that need
to output thumbnail-oriented links. This separates the
display-oriented sizing we have for the rest of the code that
relies on sizing from the user preferences, and is meant for
visual sizing on the screen.";"Normalize thumbnail sizing in media responses

Add a MediaFileTrait function to normalize image sizes based on
the approved thumbnail steps, and use it in handlers that need
to output thumbnail-oriented links.

This commit also separates the sizing calculations to two concepts:
- Visual size of images: based on $wgImageLimits and user options.
- Physical size of thumbnails: based on $wgThumbnailSteps and follows
the strict cached sizes of the thumbnails and their urls.

Documentation was added to emphasize the difference between the two
methods. Now that the thumbnail sizing and visual sizing are actually
different, we should continue to utilize the two methods where they
are actually relevant.";"KEEP";"Implementation Detail";"KEEP";"This commit introduces a separation of concerns in the codebase, making it more modular and easier to maintain. This is relevant for studying semantic change as it shows an improvement in the organization and clarity of the code."
"mediawiki%2Fcore~1289374";"Special:EditWatchlist: Fix incorrect selected page count

The updateSelectedPagesListHtml() function used Array.splice() to
truncate selectedPages for display purposes. splice() mutates the
original array, causing selectedPages.value.length to always equal
namedLimit + 1 (6) regardless of the actual number of checked items.

This caused the 'Remove pages' button and dialog title to show an
incorrect count in languages where the translation displays the
number (e.g. Hungarian: '$1 lap eltávolítása' shows '6 lap' instead
of the real count).

Fix: Use Array.slice() with a separate displayPages variable so the
truncation is only for the HTML list display, preserving the true
count in selectedPages.";"Special:EditWatchlist: Fix incorrect selected page count

Array.splice() was used instead of Array.slice() to truncate the
page list for display. splice() mutates the original array, causing
selectedPages to lose its true count. This was visible in languages
that display the count in the button label (e.g. Hungarian).

Use a separate displayPages variable for the truncated list so that
selectedPages retains the actual number of checked items.";"KEEP";"Technical Detail Added";"KEEP";"The new commit description provides additional technical details about the issue and solution, which can be useful for understanding the evolution of the codebase. This information is relevant for studying semantic change as it shows how the developers addressed a specific problem."
